Region,Year,annual_rainfall_mm,annual_mean_temp_c,annual_max_temp_c
South East,2018,60.42,25.707692307692305,34.08
South East,2019,64.85000000000001,25.90230769230769,33.08
South East,2020,64.95,25.81230769230769,34.05
South East,2021,54.00000000000001,25.862307692307695,33.45
South East,2022,47.05,25.661538461538466,35.29
South East,2023,46.73,26.311538461538458,35.13
South South,1990,64.22,25.73307692307693,33.6
South South,1991,70.97999999999999,25.516923076923078,32.16
South South,1992,120.03999999999999,25.12846153846154,33.46
South South,1993,109.85999999999999,25.30461538461538,32.7
South South,1994,128.82,25.286923076923078,32.92
South South,1995,132.63,25.520000000000003,32.69
South South,1996,115.25,25.51230769230769,32.94
South South,1997,107.94,25.429230769230774,32.94
South South,1998,81.14999999999999,26.03846153846154,34.63
South South,1999,51.3,25.67076923076924,31.92
South South,2000,118.99,25.400769230769228,32.58
South South,2001,63.19,25.497692307692315,32.28
South South,2002,83.33,25.648461538461536,32.77
South South,2003,74.16,25.87923076923077,33.3
South South,2004,62.059999999999995,25.810769230769232,32.81
South South,2005,60.36000000000001,25.99923076923077,32.48
South South,2006,75.58999999999999,25.946923076923078,32.99
South South,2007,129.77,25.591538461538462,32.88
South South,2008,55.46,25.683846153846158,32.37
South South,2009,78.96,25.946923076923074,32.88
South South,2010,83.91,26.17615384615385,32.98
South South,2011,81.78,25.673846153846153,32.53
South South,2012,74.5,25.583846153846153,32.45
South South,2013,91.21000000000001,25.664615384615388,32.96
South South,2014,47.2,26.001538461538466,32.76
South South,2015,68.1,25.74076923076923,32.99
South South,2016,79.07,26.198461538461537,33.69
South South,2017,109.04999999999998,26.103846153846156,32.63
South South,2018,114.70000000000002,25.97692307692308,34.13
South South,2019,117.82,26.169230769230772,32.53
South South,2020,124.21,26.086923076923078,33.54
South South,2021,124.03999999999999,26.12153846153846,33.3
South South,2022,80.22,25.863846153846154,33.37
South South,2023,64.60000000000001,26.303076923076922,33.16
South West,1990,48.74,26.206153846153846,32.02
South West,1991,51.83,26.133846153846154,31.49
South West,1992,43.86,25.827692307692306,32.2
South West,1993,58.81000000000001,26.090769230769233,31.64
South West,1994,52.54,26.056153846153848,31.84
South West,1995,64.72,26.23615384615385,32.0
South West,1996,54.16000000000001,26.112307692307695,30.91
South West,1997,63.959999999999994,26.08692307692307,31.88
South West,1998,42.88,26.653076923076924,32.32
South West,1999,48.34,26.28230769230769,31.3
South West,2000,33.84,26.281538461538467,32.19
South West,2001,50.81999999999999,26.273846153846154,31.53
South West,2002,52.58,26.323846153846148,31.9
South West,2003,54.12999999999999,26.473076923076917,31.88
South West,2004,56.56,26.34461538461538,31.41
South West,2005,38.93,26.455384615384613,31.51
South West,2006,47.85000000000001,26.587692307692308,31.79
South West,2007,68.80000000000001,26.272307692307695,31.45
South West,2008,59.370000000000005,26.19076923076923,30.96
South West,2009,60.01,26.363076923076925,30.92
South West,2010,80.41,26.692307692307697,31.92
South West,2011,61.86,26.225384615384613,30.67
South West,2012,77.67999999999999,26.13307692307692,30.88
South West,2013,56.260000000000005,26.196153846153848,30.41
South West,2014,70.44,26.37769230769231,30.6
South West,2015,48.699999999999996,26.16230769230769,30.99
South West,2016,66.48,26.580769230769228,31.89
South West,2017,60.94,26.537692307692307,31.19
South West,2018,64.74,26.416923076923077,31.03
South West,2019,82.63000000000001,26.724615384615383,31.06
South West,2020,58.33,26.415384615384617,31.68
South West,2021,74.67000000000002,26.74692307692308,31.68
South West,2022,70.04000000000002,26.313076923076924,31.36
South West,2023,73.88,26.826923076923073,31.47
